 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.1.64:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [30/Nov/2024 20:32:26] "GET /api/data?date=2024-10-18&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:21] "GET /api/data?date=2024-10-01&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:22] "GET /api/data?date=2024-10-02&index=S%26P+500 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 20:48:22] "GET /api/data?date=2024-10-03&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:22] "GET /api/data?date=2024-10-04&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:22] "GET /api/data?date=2024-10-07&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:23] "GET /api/data?date=2024-10-08&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:23] "GET /api/data?date=2024-10-09&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:23] "GET /api/data?date=2024-10-10&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:23] "GET /api/data?date=2024-10-11&index=S%26P+500 HTTP/1.1" 404 -
127.0.0.1 - - [30/Nov/2024 20:48:23] "GET /api/data?date=2024-10-14&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:23] "GET /api/data?date=2024-10-15&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:23] "GET /api/data?date=2024-10-16&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:23] "GET /api/data?date=2024-10-17&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 20:48:23] "GET /api/data?date=2024-10-18&index=S%26P+500 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 21:11:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 21:11:44] "GET /api/data?date=2024-11-14&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 23:29:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 23:29:42] "GET /api/data?date=2024-11-29&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 23:29:44] "GET /api/data?date=2024-11-30&index=Euro%20Stoxx%2050 HTTP/1.1" 200 -
127.0.0.1 - - [30/Nov/2024 23:29:49] "GET /api/data?date=2024-11-30&index=S%26P%20500 HTTP/1.1" 200 -
